"","unitName","subunitName","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","sw_g_m2_a.Low","sw_g_m2_b.Med","sw_g_m2_c.High","LIT","wg_g_m2","st_g_m2","sw_g_m2","stwg_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","stwg_mass_m2_var","CI80lwr_stwg","CI80upr_stwg","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg","sw_mass_m2_var","CI80lwr_sw","CI80upr_sw"
"1","4A","4A-1","KRN_4A_4A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,140.631903596054,0,140.631903596054,140.631903596054,19.4680474315742,5230.86022948901,47.9440888082547,233.319718383854,5230.86022948901,47.9440888082547,233.319718383854,5230.86022948901,47.9440888082547,233.319718383854,0,0,0,0,0,0
"2","4A","4A-2","KRN_4A_4A-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,151.60901411407,0,151.60901411407,151.60901411407,17.4548206776837,3443.34334005377,76.407557982684,226.810470245457,3443.34334005377,76.407557982684,226.810470245457,3443.34334005377,76.407557982684,226.810470245457,0,0,0,0,0,0
"3","4A","4A-3","KRN_4A_4A-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.0452228421336104,163.406322010137,0,163.45154485227,163.45154485227,7.95187543603172,2425.51532385807,100.335744045671,226.56734565887,2425.51532385807,100.335744045671,226.56734565887,2425.51190089747,100.290565739017,226.522078281257,0.00342296060374993,-0.0297557075967268,0.120201391863948,0,0,0
"4","4A","4A-4","KRN_4A_4A-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,133.565217273259,0,133.565217273259,133.565217273259,20.6063972413996,6495.22782251733,30.2811623747819,236.849272171737,6495.22782251733,30.2811623747819,236.849272171737,6495.22782251733,30.2811623747819,236.849272171737,0,0,0,0,0,0
"5","4A","4A-5","KRN_4A_4A-5",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,238.662407928106,0,238.662407928106,238.662407928106,18.098362659877,3729.42485684625,160.39931338088,316.925502475332,3729.42485684625,160.39931338088,316.925502475332,3729.42485684625,160.39931338088,316.925502475332,0,0,0,0,0,0
"6","4A","4A-6","KRN_4A_4A-6",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.577441939525227,12.6006480135437,0,13.1780899530689,13.1780899530689,25.4303885034369,18.6317011277911,7.64634255798641,18.7098373481514,18.6317011277911,7.64634255798641,18.7098373481514,17.5469909051132,7.23234018654414,17.9689558405432,1.08471022267785,-0.757286616240911,1.91217049529137,0,0,0
"7","4A","4A-7","KRN_4A_4A-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.137226709269647,199.260912591599,0,199.398139300868,199.398139300868,18.5903513704351,1858.5222794884,144.149705460463,254.646573141274,1858.5222794884,144.149705460463,254.646573141274,1858.51762802985,144.012547888368,254.509277294829,0.00465145855902781,0.0498228390436844,0.22463057949561,0,0,0
"8","4B","4B-2","KRN_4B_4B-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",2.18077665736247,32.9897045051994,0,35.1704811625619,35.1704811625619,17.6659138828996,297.702004351376,13.0585351766131,57.2824271485108,297.702004351376,13.0585351766131,57.2824271485108,296.313228734503,10.9293947670298,55.0500142433691,1.38877561687293,0.670515242396173,3.69103807232877,0,0,0
"9","4B","4B-3","KRN_4B_4B-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.0120478360062639,129.706744666434,0,129.71879250244,129.71879250244,18.9739258293855,8566.50804341501,11.1042333721211,248.333351632759,8566.50804341501,11.1042333721211,248.333351632759,8566.50648949941,11.0921962941169,248.321293038751,0.0015539156090349,-0.0384705887472938,0.0625662607598216,0,0,0
"10","4B","4B-4","KRN_4B_4B-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.347856776422575,116.570046250875,0,116.917903027297,116.917903027297,8.60026403060099,1605.84175162446,65.5623443442552,168.273461710339,1605.84175162446,65.5623443442552,168.273461710339,1605.46487931448,65.2205141964568,167.919578305293,0.376872309977239,-0.43888679024005,1.1346003430852,0,0,0
"11","5A","5A-1","KRN_5A_5A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,10.2412631137399,0,10.2412631137399,10.2412631137399,18.7272585668674,23.7473164184084,3.9961061970515,16.4864200304283,23.7473164184084,3.9961061970515,16.4864200304283,23.7473164184084,3.9961061970515,16.4864200304283,0,0,0,0,0,0
