LIT,Species,Poor,Fair,Good,Very_Good
KRN,wg_g_m2,0,5,10,20
PIX,wg_g_m2,0,50,100,200
SAC,wg_g_m2,0,50,100,200
CLS,wg_g_m2,0,50,100,200
SLW,wg_g_m2,0,12.5,25,50
MDC,wg_g_m2,0,5,10,20
