LIT,Species,Poor,Fair,Good,Very_Good
KRN,sw_g_m2,0,5,10,20
PIX,sw_g_m2,0,5,10,20
SAC,sw_g_m2,0,5,10,20
CLS,sw_g_m2,0,5,10,20
SLW,sw_g_m2,0,1,3,5
MDC,sw_g_m2,0,10,50,100
