LIT,Species,Poor,Fair,Good,Very_Good
KRN,st_g_m2,0,85,180,300
PIX,st_g_m2,0,85,180,300
SAC,st_g_m2,0,50,100,200
CLS,st_g_m2,0,50,100,200
SLW,st_g_m2,0,50,100,200
MDC,st_g_m2,0,50,100,200
