LIT,Species,Poor,Fair,Good,Very_Good
KRN,st_g_m2,0,85,180,300
KRN14,st_g_m2,0,85,180,300
PIX,st_g_m2,0,85,180,300
SAC,st_g_m2,0,50,100,200
CLS,st_g_m2,0,50,100,200
SLW,st_g_m2,0,10,40,70
MDC,st_g_m2,0,20,100,160
