"","unitName","subunitName","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","sw_g_m2_a.Low","sw_g_m2_b.Med","sw_g_m2_c.High","LIT","wg_g_m2","st_g_m2","sw_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg","sw_mass_m2_var","CI80lwr_sw","CI80upr_sw"
"1","4A","4A-1","KRN_4A_4A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,140.631903596054,0,140.631903596054,19.4680474315742,5237.2347991643,47.8876291621048,233.376178030004,5237.2347991643,47.8876291621048,233.376178030004,0,0,0,0,0,0
"2","4A","4A-2","KRN_4A_4A-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,151.60901411407,0,151.60901411407,17.4548206776837,3450.17845970708,76.3329566327973,226.885071595343,3450.17845970708,76.3329566327973,226.885071595343,0,0,0,0,0,0
"3","4A","4A-3","KRN_4A_4A-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.0452228421336104,163.406322010137,0,163.45154485227,7.95187543603172,2435.8562115045,100.201343897975,226.701745806566,2435.85278399596,100.156165555734,226.656478464539,0.00342750853777484,-0.0298055013783515,0.120251185645572,0,0,0
"4","4A","4A-4","KRN_4A_4A-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,133.565217273259,0,133.565217273259,20.6063972413996,6502.1217856504,30.2263646333135,236.904069913205,6502.1217856504,30.2263646333135,236.904069913205,0,0,0,0,0,0
"5","4A","4A-5","KRN_4A_4A-5",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,238.662407928106,0,238.662407928106,18.098362659877,3750.17191018041,160.181923744496,317.142892111716,3750.17191018041,160.181923744496,317.142892111716,0,0,0,0,0,0
"6","4A","4A-6","KRN_4A_4A-6",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.577441939525227,12.6006480135437,0,13.1780899530689,25.4303885034369,18.5954406094179,7.65172804894556,18.7044518571923,17.5014866159805,7.23930547224179,17.9619905548456,1.09395399343736,-0.762961749731296,1.91784562878175,0,0,0
"7","4A","4A-7","KRN_4A_4A-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.137226709269647,199.260912591599,0,199.398139300868,18.5903513704351,1872.09254954389,143.948370084365,254.847908517372,1872.08791175363,143.811212058815,254.710613124383,0.00463779025653702,0.0499513515782143,0.22450206696108,0,0,0
"8","4B","4B-2","KRN_4B_4B-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",2.18077665736247,32.9897045051994,0,35.1704811625619,17.6659138828996,298.148855002711,13.0419463858835,57.2990159392403,296.756361172034,10.9129054817471,55.0665035286518,1.39249383067645,0.668494857975541,3.6930584567494,0,0,0
"9","4B","4B-3","KRN_4B_4B-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.0120478360062639,129.706744666434,0,129.71879250244,18.9739258293855,8573.31297282197,11.0571311301383,248.380453874742,8573.3114174932,11.0450940576434,248.368395275224,0.00155532876678023,-0.038493554691919,0.0625892267044468,0,0,0
"10","4B","4B-4","KRN_4B_4B-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0.347856776422575,116.570046250875,0,116.917903027297,8.60026403060099,1609.31123365113,65.5068964609812,168.328909593613,1608.93399544004,65.1650656577893,167.97502684396,0.377238211087095,-0.439268617848459,1.13498217069361,0,0,0
"11","5A","5A-1","KRN_5A_5A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,10.2412631137399,0,10.2412631137399,18.7272585668674,23.730342683286,3.99833850377011,16.4841877237097,23.730342683286,3.99833850377011,16.4841877237097,0,0,0,0,0,0
"12","5A","5A-3","KRN_5A_5A-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,16.5493259549836,0,16.5493259549836,21.2158373560011,163.534663842405,0.16075835787824,32.9378935520889,163.534663842405,0.16075835787824,32.9378935520889,0,0,0,0,0,0
"13","5A","5A-4","KRN_5A_5A-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,9.03421008563479,0,9.03421008563479,18.920803947045,57.5382047314397,-0.686863689652009,18.7552838609216,57.5382047314397,-0.686863689652009,18.7552838609216,0,0,0,0,0,0
