"","LIT","Unit_Name","Subunit_Name","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","wg_g_m2","st_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg"
"1","KRN","4A","4A-1","KRN_4A_4A-1",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,67.833831439827,67.833831439827,19.4765825020243,187.304595101732,50.2946103956905,85.3730524839635,187.304595101732,50.2946103956905,85.3730524839635,0,0,0
"2","KRN","4A","4A-2","KRN_4A_4A-2",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,80.3663436864719,80.3663436864719,17.4619426356275,309.24566197049,57.8297697850023,102.902917587942,309.24566197049,57.8297697850023,102.902917587942,0,0,0
"3","KRN","4A","4A-3","KRN_4A_4A-3",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,260.153330982521,260.153330982521,8.98213337651822,989.634628011569,219.837693899715,300.468968065327,989.634628011569,219.837693899715,300.468968065327,0,0,0
"4","KRN","4A","4A-4","KRN_4A_4A-4",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,135.234996059238,135.234996059238,20.6152295587045,197.158505961782,117.240327795533,153.229664322943,197.158505961782,117.240327795533,153.229664322943,0,0,0
"5","KRN","4A","4A-5","KRN_4A_4A-5",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,174.859058529299,174.859058529299,21.9515994210526,787.566530260955,138.894087800424,210.824029258175,787.566530260955,138.894087800424,210.824029258175,0,0,0
"6","KRN","4A","4A-6","KRN_4A_4A-6",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,80.1512217425964,80.1512217425964,26.65628048583,138.862939599367,65.0494026730109,95.2530408121818,138.862939599367,65.0494026730109,95.2530408121818,0,0,0
"7","KRN","4B","4B-1","KRN_4B_4B-1",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,93.4109648096792,93.4109648096792,25.8704965222672,82.8676223545604,81.7447887952593,105.077140824099,82.8676223545604,81.7447887952593,105.077140824099,0,0,0
"8","KRN","4B","4B-2","KRN_4B_4B-2",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,66.5801186148867,66.5801186148867,17.6735283441296,135.055131739066,51.6867948420369,81.4734423877364,135.055131739066,51.6867948420369,81.4734423877364,0,0,0
"9","KRN","4B","4B-3","KRN_4B_4B-3",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,241.777362519053,241.777362519053,18.9818694412955,627.367023407322,209.677961463069,273.876763575036,627.367023407322,209.677961463069,273.876763575036,0,0,0
"10","KRN","5A","5A-1","KRN_5A_5A-1",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,146.109318702308,146.109318702308,18.7351343198381,155.698889876123,130.118200129807,162.100437274809,155.698889876123,130.118200129807,162.100437274809,0,0,0
"11","KRN","5A","5A-3","KRN_5A_5A-3",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,60.128716570067,60.128716570067,21.2247014089069,189.285664866445,42.4969857097324,77.7604474304015,189.285664866445,42.4969857097324,77.7604474304015,0,0,0
"12","KRN","5A","5A-4","KRN_5A_5A-4",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,99.9661156674923,99.9661156674923,18.9291342145749,358.555774231097,75.6992075413756,124.233023793609,358.555774231097,75.6992075413756,124.233023793609,0,0,0
"13","KRN","5A","5A-6","KRN_5A_5A-6",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,163.305334635832,163.305334635832,14.1035457125506,241.516891985903,143.388980445766,183.221688825897,241.516891985903,143.388980445766,183.221688825897,0,0,0
"14","KRN","5A","5A-7","KRN_5A_5A-7",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,105.674283003838,105.674283003838,19.6412378421053,414.933975482665,79.5691696099239,131.779396397753,414.933975482665,79.5691696099239,131.779396397753,0,0,0
"15","KRN","5B","5B-1","KRN_5B_5B-1",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,143.013327312561,143.013327312561,9.23024375303644,404.546551612303,117.237041581192,168.789613043929,404.546551612303,117.237041581192,168.789613043929,0,0,0
"16","KRN","5B","5B-2","KRN_5B_5B-2",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,54.0752867339848,54.0752867339848,11.935125437247,444.043041764349,27.0700107491135,81.0805627188562,444.043041764349,27.0700107491135,81.0805627188562,0,0,0
"17","KRN","5B","5B-3","KRN_5B_5B-3",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,106.065103904589,106.065103904589,23.2972509311741,1235.11363509984,61.0260204981669,151.104187311012,1235.11363509984,61.0260204981669,151.104187311012,0,0,0
"18","KRN","5B","5B-5","KRN_5B_5B-5",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,20.8476572376286,20.8476572376286,20.3027789230769,14.7385998037348,15.9276674782098,25.7676469970474,14.7385998037348,15.9276674782098,25.7676469970474,0,0,0
"19","KRN","5B","5B-6","KRN_5B_5B-6",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,83.8322554884087,83.8322554884087,12.9507504534413,140.674921930686,68.6322261255372,99.0322848512802,140.674921930686,68.6322261255372,99.0322848512802,0,0,0
"20","KRN","5B","5B-7","KRN_5B_5B-7",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,189.617538093164,189.617538093164,12.0585314453441,318.487263200261,166.746697867427,212.488378318901,318.487263200261,166.746697867427,212.488378318901,0,0,0
"21","KRN","5B","5B-8","KRN_5B_5B-8",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,112.188405825593,112.188405825593,19.3648213117409,268.234799263208,91.1993140976806,133.177497553506,268.234799263208,91.1993140976806,133.177497553506,0,0,0
"22","KRN","6A","6A-1","KRN_6A_6A-1",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,61.6882745912939,61.6882745912939,21.8329741659919,123.076962604406,47.4707342106294,75.9058149719585,123.076962604406,47.4707342106294,75.9058149719585,0,0,0
"23","KRN","6A","6A-2","KRN_6A_6A-2",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,41.9850129967596,41.9850129967596,20.2451643076923,123.139364177207,27.7638688366556,56.2061571568636,123.139364177207,27.7638688366556,56.2061571568636,0,0,0
"24","KRN","6A","6A-4","KRN_6A_6A-4",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,77.1351750162579,77.1351750162579,11.5020235425101,45.4237540378468,68.497883110121,85.7724669223948,45.4237540378468,68.497883110121,85.7724669223948,0,0,0
"25","KRN","6A","6A-5","KRN_6A_6A-5",17.971686603611,102.851158860062,293.059459014096,0,0,0,0,85.7497910959272,85.7497910959272,13.7868232631579,87.1484877803622,73.7860773477024,97.713504844152,87.1484877803622,73.7860773477024,97.713504844152,0,0,0
"26","MDC","Duck Ponds","Duck Ponds","MDC_Duck Ponds_Duck Ponds",-3.2637853673212,91.8817354400458,152.389119815721,5.41515484865058,7.34418094066792,12.1277383640952,0,121.449781391272,121.449781391272,71.7262952631579,1040.16955168173,80.1176164455558,162.781946336989,1040.16955168173,80.1176164455558,162.781946336989,0,0,0
"27","MDC","Flournoy Pond","Flournoy Pond","MDC_Flournoy Pond_Flournoy Pond",-3.2637853673212,91.8817354400458,152.389119815721,5.41515484865058,7.34418094066792,12.1277383640952,0,63.7300478275142,63.7300478275142,21.7357757327935,403.39015611482,37.9906291913781,89.4694664636504,403.39015611482,37.9906291913781,89.4694664636504,0,0,0
"28","MDC","Gadwall","Gadwall","MDC_Gadwall_Gadwall",-3.2637853673212,91.8817354400458,152.389119815721,5.41515484865058,7.34418094066792,12.1277383640952,0.869364952983484,44.4923529493573,45.3617179023408,26.0387056477733,197.1590408711,27.3670252280501,63.3564105766315,197.056130997436,26.5023571767452,62.4823487219694,0.102909873663804,0.458248736358876,1.28048116960809
