"","LIT","Unit_Name","Subunit_Name","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","wg_g_m2","st_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg"
"1","CLS","T10","T10:3","CLS_T10_T10:3",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,7.75798947855041,172.90982217449,180.66781165304,17.3838170040486,391.901042988354,155.29758803805,206.03803526803,389.974726555836,147.602026666972,198.217617682008,1.9263164325186,5.97930096612019,9.53667799098062
"2","CLS","T13A","T13A","CLS_T13A_T13A",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0,580.743702827382,580.743702827382,36.0495437246963,6887.49586358873,474.386535740211,687.100869914552,6887.49586358873,474.386535740211,687.100869914552,0,0,0
"3","CLS","T15","T15:1","CLS_T15_T15:1",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0.014693689037967,429.198599606636,429.213293295674,14.2127809716599,6028.60380569038,329.708395679825,528.718190911524,6028.57642811353,329.693927930835,528.703271282437,0.0273775768476818,-0.197354022016481,0.226741400092415
"4","CLS","T15","T15:2","CLS_T15_T15:2",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0,0,0,16.6628793522267,0,0,0,0,0,0,0,0,0
"5","CLS","T15","T15:3","CLS_T15_T15:3",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0,0,0,30.0489659919028,0,0,0,0,0,0,0,0,0
"6","CLS","T15","T15:4","CLS_T15_T15:4",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0,0,0,30.801367611336,0,0,0,0,0,0,0,0,0
"7","CLS","T17","T17","CLS_T17_T17",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0.0230984905610352,420.880284373376,420.903382863937,34.8731627530364,4043.03058646657,339.416144630697,502.390621097178,4042.79657612255,339.395404412251,502.365164334501,0.234010344024168,-0.596847153754416,0.643044134876486
"8","CLS","T24","T24:4","CLS_T24_T24:4",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,38.9251652761814,1.31717164815275,40.2423369243341,13.7265327935223,167.610697581647,23.6507872253605,56.8338866233077,134.903289680246,-13.5677775116657,16.2021208079712,32.7074079014019,31.5959218006833,46.2544087516795
"9","CLS","T24","T24:5","CLS_T24_T24:5",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,36.1597363669665,0,36.1597363669665,11.3989647773279,23.8744617781334,29.897883190799,42.421589543134,0,0,0,23.8744617781334,29.897883190799,42.421589543134
"10","CLS","T27","T27.3","CLS_T27_T27.3",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0,0,0,71.5502222672065,0,0,0,0,0,0,0,0,0
"11","CLS","T5","T5","CLS_T5_T5",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,0,0,0,39.5412753036437,0,0,0,0,0,0,0,0,0
"12","CLS","T6","T6:1","CLS_T6_T6:1",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,50.0568994350199,2.56903491589456,52.6259343509145,10.7638566801619,350.685164913401,28.6268438967668,76.6250248050622,270.287134362217,-18.5002003388713,23.6382701706604,80.3980305511833,38.5658738756673,61.5479249943726
"13","CLS","T6","T6:2","CLS_T6_T6:2",77.4320526123957,286.608321441551,763.145996148919,16.8824903086376,53.763109473723,68.4157153263294,43.9144757629094,0,43.9144757629094,13.7845497975708,17.1739818429449,38.6035334373799,49.2254180884389,0,0,0,17.1739818429449,38.6035334373799,49.2254180884389
