LIT,refugeName,unitName,subunitName,acreage
KRN,KERN NATIONAL WILDLIFE REFUGE,4B,4B-1,63.90043905
KRN,KERN NATIONAL WILDLIFE REFUGE,4B,4B-2,43.65342389
KRN,KERN NATIONAL WILDLIFE REFUGE,4B,4B-4,21.25171524
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14G-2,119.7562688
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14E-2,81.55535855
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14D-2,63.54716372
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14C-2,58.82307931
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14B-1,75.65548399
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14A-2,53.55666864
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-6,62.83985852
KRN,KERN NATIONAL WILDLIFE REFUGE,Shrew Slough,,15.03544883
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-3,19.64951213
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-5,44.72202809
