"","unitName","subunitName","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","sw_g_m2_a.Low","sw_g_m2_b.Med","sw_g_m2_c.High","LIT","wg_g_m2","st_g_m2","sw_g_m2","stwg_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","stwg_mass_m2_var","CI80lwr_stwg","CI80upr_stwg","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg","sw_mass_m2_var","CI80lwr_sw","CI80upr_sw"
"1","4A","4A-1","KRN_4A_4A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,140.631903596054,0,140.631903596054,140.631903596054,19.4680474315742,5234.57520602487,47.9111810333346,233.352626158774,5234.57520602487,47.9111810333346,233.352626158774,5234.57520602487,47.9111810333346,233.352626158774,0,0,0,0,0,0
"2","4A","4A-2","KRN_4A_4A-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,151.60901411407,0,151.60901411407,151.60901411407,17.4548206776837,3447.31881954092,76.364158940587,226.853869287554,3447.31881954092,76.364158940587,226.853869287554,3447.31881954092,76.364158940587,226.853869287554,0,0,0,0,0,0
"3","4A","4A-3","KRN_4A_4A-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.04522284213361,163.406322010137,0,163.45154485227,163.45154485227,7.95187543603172,2431.68318776539,100.255546139252,226.647543565289,2431.68318776539,100.255546139252,226.647543565289,2431.6797839435,100.210367527387,226.602276492887,0.00340382189498151,-0.0295458009866473,0.119991485253867,0,0,0
"4","4A","4A-4","KRN_4A_4A-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,133.565217273259,0,133.565217273259,133.565217273259,20.6063972413996,6499.2931695479,30.2488448135983,236.881589732921,6499.2931695479,30.2488448135983,236.881589732921,6499.2931695479,30.2488448135983,236.881589732921,0,0,0,0,0,0
"5","4A","4A-5","KRN_4A_4A-5",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,238.662407928106,0,238.662407928106,238.662407928106,18.098362659877,3741.79138050058,160.269663173491,317.055152682721,3741.79138050058,160.269663173491,317.055152682721,3741.79138050058,160.269663173491,317.055152682721,0,0,0,0,0,0
"6","4A","4A-6","KRN_4A_4A-6",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.577441939525232,12.6006480135437,0,13.1780899530689,13.1780899530689,25.4303885034369,18.729265006833,7.6318781231995,18.7243017829383,18.729265006833,7.6318781231995,18.7243017829383,17.6337859963737,7.2190795653428,17.9822164617446,1.09547901045939,-0.763895713384037,1.9187795924345,0,0,0
"7","4A","4A-7","KRN_4A_4A-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.137226709269646,199.260912591599,0,199.398139300868,199.398139300868,18.5903513704351,1866.59654194359,144.029823416283,254.766455185454,1866.59654194359,144.029823416283,254.766455185454,1866.59191607385,143.892665314977,254.629159868221,0.00462586973125526,0.0500635857917119,0.22438983274758,0,0,0
"8","4B","4B-2","KRN_4B_4B-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",2.18077665736247,32.9897045051994,0,35.1704811625619,35.1704811625619,17.6659138828996,297.908185913071,13.0508793893083,57.2900829358155,297.908185913071,13.0508793893083,57.2900829358155,296.513814889265,10.9219292817521,55.0574797286468,1.39437102380617,0.667475862832341,3.69407745189259,0,0,0
"9","4B","4B-3","KRN_4B_4B-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.0120478360062638,129.706744666434,0,129.71879250244,129.71879250244,18.9739258293855,8570.39226262059,11.0773453605327,248.360239644347,8570.39226262059,11.0773453605327,248.360239644347,8570.39071465186,11.0653082389286,248.348181093939,0.00154796872977422,-0.0383738283577091,0.0624695003702367,0,0,0
"10","4B","4B-4","KRN_4B_4B-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.347856776422576,116.570046250875,0,116.917903027297,116.917903027297,8.60026403060099,1607.82322975881,65.5306698206007,168.305136233994,1607.82322975881,65.5306698206007,168.305136233994,1607.44574277283,65.1888457815242,167.951246720225,0.377486985986349,-0.439528115378122,1.13524166822327,0,0,0
