Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
CLS_T10_T10:3,176.266,23.314,140.89,217.1,147.39,0.164
CLS_T13A_T13A,486.033,74.037,371.795,613.215,395,0.187
CLS_T15_T15:1,286.155,45.844,216.595,367.91,229.6,0.198
CLS_T15_T15:2,4.177,0.815,3,5.6,3.2,0.234
CLS_T15_T15:3,3.682,0.682,2.7,4.9,2.9,0.212
CLS_T15_T15:4,2.991,0.536,2.2,3.9,2.4,0.198
CLS_T17_T17,352.649,53.521,272.4,447.71,286.8,0.187
CLS_T24_T24:4,54.647,6.442,44.6,65.6,46.4,0.151
CLS_T24_T24:5,66.595,7.647,54.8,80,57.1,0.143
CLS_T27_T27.3,4.57,0.963,3.2,6.3,3.4,0.256
CLS_T5_T5,3.009,0.598,2.2,4.1,2.3,0.236
CLS_T6_T6:1,67.748,7.84,55.595,81.6,58.1,0.142
CLS_T6_T6:2,69.619,6.771,58.8,81.4,61.2,0.121
CLS_T6_T6:3,59.952,6.744,49.6,71.7,51.6,0.139
CLS_T6_T6:4,73.048,6.92,62.1,84.9,64.5,0.117
CLS_T6A_T6A,2.939,0.549,2.1,3.9,2.3,0.217
KRN_14_14-F,36.741,7.69,25.4,50.7,27.5,0.252
KRN_14_14A-1,5.267,0.658,4.3,6.4,4.5,0.146
KRN_14_14A-2,5.221,0.768,4.1,6.6,4.3,0.176
KRN_14_14B-1,69.713,8.059,57.1,83.4,59.3,0.149
KRN_14_14B-2,60.673,8.616,47.3,75.8,50.1,0.174
KRN_14_14C-1,75.718,12.125,57.1,96.705,60.69,0.198
KRN_14_14C-2,134.483,19.239,104.6,169.41,110.6,0.178
KRN_14_14D-1,56.505,9.053,42.695,72.5,45.5,0.195
KRN_14_14D-2,5.223,0.789,4,6.6,4.3,0.177
KRN_14_14E-1,13.334,1.61,10.9,16.2,11.3,0.153
KRN_14_14E-2,1.805,0.236,1.5,2.2,1.5,0.169
KRN_14_14G-1,109.281,10.936,92.3,128,95.7,0.124
KRN_14_14G-2,28.64,5.177,20.9,37.9,22.2,0.225
KRN_4A_4A-1,33.088,3.179,28.2,38.5,29.2,0.118
KRN_4A_4A-2,167.083,17.488,139.6,197.5,145.4,0.13
KRN_4A_4A-3,165.581,18.453,136.8,198.005,142.9,0.137
KRN_4A_4A-5,172.593,18.539,143.7,205.7,149.4,0.134
KRN_4A_4A-6,74.095,7.927,61.9,87.6,64.29,0.132
KRN_4A_4A-7,70.434,8.844,56.9,86.2,59.4,0.157
KRN_4B_4B-1,146.412,14.229,123.9,171.1,128.7,0.121
KRN_4B_4B-2,67.685,6.662,57.4,79.3,59.3,0.124
KRN_4B_4B-4,56.598,7.155,45.4,69.305,47.7,0.157
KRN_5A_5A-1,38.564,3.771,32.7,45.2,33.99,0.119
KRN_5A_5A-3,62.293,7.429,50.8,75.4,53.2,0.146
KRN_5A_5A-4,34.242,3.281,29.2,39.9,30.2,0.118
KRN_5A_5A-5,31.867,3.226,26.9,37.3,27.9,0.124
KRN_5A_5A-7,76.643,6.949,65.695,88.505,68,0.113
KRN_5B_5B-1,140.279,15.195,116.595,166.305,121.4,0.135
KRN_5B_5B-2,75.582,8.672,62.295,90.6,64.8,0.143
KRN_5B_5B-3,78.35,9.042,64.5,93.9,67.39,0.14
KRN_5B_5B-5,40.103,5.693,31.4,49.9,33,0.177
KRN_5B_5B-6,96.103,9.995,80.5,113,83.8,0.128
KRN_5B_5B-7,183.571,18.277,155.4,215.8,160.4,0.126
KRN_6A_6A-1,77.765,10.14,62.095,95.305,65.5,0.158
KRN_6A_6A-2,66.81,8.088,54.495,80.8,56.9,0.148
KRN_6A_6A-4,85.238,8.296,72.2,99.6,74.8,0.122
KRN_6A_6A-5,101.618,9.731,86.4,118.305,89.5,0.119
PIX_1_1,106.651,16.017,82.7,134.51,87.1,0.183
PIX_2_2,296.974,31.831,247.5,352.1,257.5,0.133
PIX_2A_2A,98.551,15.048,75.995,125.3,80.4,0.184
PIX_3_3,296.499,32.769,246.595,352.6,256.6,0.135
PIX_3A_3A,313.616,48.075,243.3,398.415,256.19,0.183
PIX_4_4,243.571,24.336,205.7,285.7,213.2,0.125
PIX_4A_4A,259.003,27.456,216.8,306.81,225.3,0.13
PIX_6_6,64.572,9.305,50.6,80.605,53.4,0.173
PIX_7A_7A,191.811,18.056,162.795,223.2,169,0.119
PIX_7B_7B,271.941,27.894,228,320.2,237.9,0.125
PIX_8A_8A,294.198,30.295,246.895,347.61,256.4,0.128
PIX_8B_8B,335.823,37.037,278.9,400.6,290.49,0.135
PIX_9A_9A,322.874,37.621,266.1,388.1,277.49,0.141
PIX_9B_9B,300.113,33.309,248.995,358.73,259.9,0.134
SAC_P1A_P1A:1,70.188,18.967,44.795,105.7,48.7,0.306
SAC_P7A_P7A:4,32.889,6.487,23.7,44.31,25.39,0.228
SAC_P8_P8:1,136.767,47.783,73.4,224.815,82.39,0.398
SAC_T10_T10:3,47.468,7.111,36.7,60.005,38.9,0.18
SAC_T14_T14:1,45.08,6.263,35.5,56.2,37.49,0.168
SAC_T14_T14:2,45.169,6.495,35.3,56.5,37.3,0.174
SAC_T35_T35:1,36.421,6.748,26.9,48.105,28.6,0.215
SAC_T36_T36:1,42.228,6.699,32.5,54.3,34.2,0.19
SAC_T36_T36:2,39.753,6.695,29.9,51.6,31.6,0.205
