Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
CLS_T10_T10:3,162.318,23.272,126.795,202.805,133.59,0.177
CLS_T13A_T13A,483.513,74.066,369.295,610.81,392.58,0.188
CLS_T15_T15:1,277.27,46.164,207.585,359.31,220.79,0.204
CLS_T15_T15:2,3.817,0.807,2.6,5.3,2.9,0.24
CLS_T15_T15:3,3.316,0.675,2.3,4.5,2.5,0.246
CLS_T15_T15:4,2.546,0.527,1.8,3.5,1.9,0.254
CLS_T17_T17,347.757,53.634,267.2,442.91,281.49,0.191
CLS_T24_T24:4,19.361,4.427,13.2,27.5,14.2,0.267
CLS_T24_T24:5,40.318,6.733,30.395,52.4,32.2,0.201
CLS_T27_T27.3,4.096,0.954,2.7,5.8,3,0.268
CLS_T5_T5,2.583,0.589,1.7,3.7,1.9,0.264
CLS_T6_T6:1,26.239,5.495,18.2,36.1,19.7,0.249
CLS_T6_T6:2,29.723,4.109,23.4,36.9,24.69,0.169
CLS_T6_T6:3,25.966,4.715,19,34.6,20.3,0.218
CLS_T6_T6:4,34.209,4.75,26.9,42.405,28.4,0.17
CLS_T6A_T6A,2.598,0.543,1.8,3.6,2,0.23
KRN_14_14-F,36.132,7.579,25,49.9,27.1,0.25
KRN_14_14A-1,5.186,0.641,4.2,6.3,4.4,0.152
KRN_14_14A-2,5.166,0.763,4,6.5,4.3,0.168
KRN_14_14B-1,69.342,8.042,56.895,83.005,59,0.149
KRN_14_14B-2,59.79,8.485,46.4,74.4,49.2,0.177
KRN_14_14C-1,74.76,12.017,56.2,95.6,60,0.197
KRN_14_14C-2,133.948,19.222,104.295,169.105,110.3,0.177
KRN_14_14D-1,55.58,8.895,42.095,71.5,44.7,0.196
KRN_14_14D-2,5.166,0.783,4,6.6,4.2,0.187
KRN_14_14E-1,13.108,1.565,10.7,15.8,11.2,0.146
KRN_14_14E-2,1.741,0.218,1.4,2.1,1.5,0.138
KRN_14_14G-1,108.16,10.818,91.4,126.6,94.4,0.127
KRN_14_14G-2,28.328,5.137,20.7,37.6,22,0.223
KRN_4A_4A-1,33.011,3.176,28.1,38.4,29.1,0.118
KRN_4A_4A-2,166.818,17.483,139.4,197.3,145.19,0.13
KRN_4A_4A-3,165.12,18.43,136.495,197.4,142.3,0.138
KRN_4A_4A-5,172.129,18.512,143.4,205.205,149,0.134
KRN_4A_4A-6,73.607,7.876,61.5,86.905,63.89,0.132
KRN_4A_4A-7,69.975,8.801,56.4,85.6,59.09,0.156
KRN_4B_4B-1,146.295,14.225,123.7,171.1,128.6,0.121
KRN_4B_4B-2,67.397,6.651,57.1,79,59,0.125
KRN_4B_4B-4,56.019,7.093,44.895,68.405,47.2,0.157
KRN_5A_5A-1,38.411,3.76,32.6,44.9,33.8,0.12
KRN_5A_5A-3,61.677,7.349,50.3,74.7,52.6,0.147
KRN_5A_5A-4,34.117,3.274,29.1,39.8,30.1,0.118
KRN_5A_5A-5,31.781,3.221,26.9,37.3,27.8,0.125
KRN_5A_5A-7,76.469,6.945,65.6,88.3,67.79,0.113
KRN_5B_5B-1,139.963,15.192,116.295,166,121.2,0.134
KRN_5B_5B-2,75.234,8.658,61.995,90.3,64.4,0.144
KRN_5B_5B-3,77.802,8.994,64.1,93.205,66.8,0.141
KRN_5B_5B-5,39.862,5.669,31.1,49.7,32.7,0.18
KRN_5B_5B-6,95.847,9.98,80.2,112.8,83.6,0.128
KRN_5B_5B-7,183.382,18.269,155.295,215.5,160.2,0.126
KRN_6A_6A-1,77.357,10.116,61.8,94.705,65.1,0.158
KRN_6A_6A-2,66.606,8.077,54.3,80.6,56.6,0.15
KRN_6A_6A-4,85.125,8.293,72.1,99.505,74.7,0.122
KRN_6A_6A-5,101.43,9.724,86.2,118.1,89.3,0.12
PIX_1_1,106.651,16.017,82.7,134.51,87.1,0.183
PIX_2_2,296.974,31.831,247.5,352.1,257.5,0.133
PIX_2A_2A,98.551,15.048,75.995,125.3,80.4,0.184
PIX_3_3,296.499,32.769,246.595,352.6,256.6,0.135
PIX_3A_3A,313.616,48.075,243.3,398.415,256.19,0.183
PIX_4_4,243.571,24.336,205.7,285.7,213.2,0.125
PIX_4A_4A,259.003,27.456,216.8,306.81,225.3,0.13
PIX_6_6,64.572,9.305,50.6,80.605,53.4,0.173
PIX_7A_7A,191.811,18.056,162.795,223.2,169,0.119
PIX_7B_7B,271.941,27.894,228,320.2,237.9,0.125
PIX_8A_8A,294.198,30.295,246.895,347.61,256.4,0.128
PIX_8B_8B,335.823,37.037,278.9,400.6,290.49,0.135
PIX_9A_9A,322.874,37.621,266.1,388.1,277.49,0.141
PIX_9B_9B,300.113,33.309,248.995,358.73,259.9,0.134
SAC_P1A_P1A:1,66.145,18.971,40.9,102.105,44.4,0.329
SAC_P7A_P7A:4,22.979,6.268,14.4,34.4,15.8,0.312
SAC_P8_P8:1,132.57,47.824,69.295,220.4,78.1,0.411
SAC_T10_T10:3,6.867,2.067,4.1,10.7,4.5,0.345
SAC_T14_T14:1,8.849,3.09,4.9,14.4,5.5,0.378
SAC_T14_T14:2,14.052,4.21,8.4,21.8,9.3,0.338
SAC_T35_T35:1,16.794,5.841,9.2,27.7,10.3,0.387
SAC_T36_T36:1,20.711,5.796,12.8,31.6,14,0.324
SAC_T36_T36:2,11.989,3.399,7.4,18.2,8.1,0.324
SLW_Beach Lake 1_Beach Lake 1,39.562,7.754,28.4,54,30.2,0.237
SLW_Beach Lake 3_Beach Lake 3,45.05,8.23,32.6,59.7,35.09,0.221
SLW_HQ-7_27a,34.488,6.67,24.8,46.305,26.5,0.232
SLW_Lewis 1_22,53.143,8.894,39.7,68.605,42.3,0.204
SLW_Lewis 6_22,19.336,3.691,13.9,26,14.9,0.229
SLW_LIC_57,33.992,10.702,19.2,53.5,21.8,0.359
