Refuge,Unit,RtCI90_lwr (ton),CI90lwr (ton),Cumulative Mass (ton),Unit Mass (ton),CI90upr (ton),MOE/Mean,Cumulative Area (ha),Objective,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2)
PIX,PIX_4A_4A,53.524,50.015,70.163,6.388,96.586,0.237,169.599,Pass,34.962,5.807,26.495,45.3
PIX,PIX_3_3,58.034,54.209,75.591,5.428,103.567,0.232,189.168,Pass,27.736,6.563,18.6,39.605
PIX,PIX_2_2,62.999,59.095,80.854,5.263,108.933,0.221,209.242,Pass,26.22,3.797,20.4,32.705
PIX,PIX_9B_9B,67.003,62.854,85.613,4.759,114.604,0.217,222.736,Pass,35.266,6.346,26.295,46.8
PIX,PIX_8B_8B,70.005,65.607,89.032,3.419,118.688,0.214,240.523,Pass,19.221,3.467,14.2,25.4
PIX,PIX_2A_2A,72.232,67.858,92.069,3.037,122.632,0.215,262.954,Pass,13.54,4.34,7.9,21.4
PIX,PIX_9A_9A,74.725,70.243,94.969,2.9,126.139,0.213,275.301,Pass,23.489,3.903,17.9,30.7
PIX,PIX_8A_8A,75.834,71.294,96.314,1.345,127.854,0.213,286.926,Pass,11.566,2.254,8.3,15.6
SLW,SLW_Lewis 2_Lewis 2,4.252,3.767,7.383,7.383,13.17,0.424,17.284,NO,42.719,18.611,21.795,76.2
SLW,SLW_LIC_57,8.93,8.228,12.936,5.553,19.994,0.31,45.927,NO,19.385,3.936,13.9,26.3
SLW,SLW_Lewis 6_22,12.839,11.805,18.279,5.343,27.875,0.298,69.633,NO,22.539,6.844,13.995,35.005
SLW,SLW_Beach Lake 2_Beach Lake 2,15.054,13.805,21.813,3.534,33.493,0.31,84.694,NO,23.465,9.928,12.3,41.7
SLW,SLW_Lewis 1_22,17.13,15.677,25.297,3.484,39.307,0.323,96.643,NO,29.157,12.05,14.9,52.205
SLW,SLW_HQ-6_HQ-6,18.879,17.312,28.182,2.885,44.47,0.33,141.298,NO,6.462,3.005,3.1,12.205
SLW,SLW_HQ-7_27a,19.855,18.178,29.778,1.596,47.168,0.333,176.665,NO,4.512,1.951,2.2,8.2
SLW,SLW_Beach Lake 1_Beach Lake 1,20.603,18.944,30.719,0.94,48.46,0.329,193.128,NO,5.713,1.279,4,8
SLW,SLW_Beach Lake 3_Beach Lake 3,21.145,19.433,31.351,0.633,49.202,0.326,200.47,NO,8.616,1.508,6.4,11.2
SLW,SLW_HQ-5_HQ-5,21.453,19.692,31.799,0.447,50.012,0.325,210.066,NO,4.662,1.988,2.3,8.5
