Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
KRN_4A_4A-1,0,0,0,0,0,NA
KRN_4A_4A-2,0,0,0,0,0,NA
KRN_4A_4A-3,0,0,0,0,0,NA
KRN_4A_4A-4,0,0,0,0,0,NA
KRN_4A_4A-5,0,0,0,0,0,NA
KRN_4A_4A-6,0,0,0,0,0,NA
KRN_4B_4B-1,0,0,0,0,0,NA
KRN_4B_4B-2,0,0,0,0,0,NA
KRN_4B_4B-3,0,0,0,0,0,NA
KRN_5A_5A-1,0,0,0,0,0,NA
KRN_5A_5A-3,0,0,0,0,0,NA
KRN_5A_5A-4,0,0,0,0,0,NA
KRN_5A_5A-6,0,0,0,0,0,NA
KRN_5A_5A-7,0,0,0,0,0,NA
KRN_5B_5B-1,0,0,0,0,0,NA
KRN_5B_5B-2,0,0,0,0,0,NA
KRN_5B_5B-3,0,0,0,0,0,NA
KRN_5B_5B-5,0,0,0,0,0,NA
KRN_5B_5B-6,0,0,0,0,0,NA
KRN_5B_5B-7,0,0,0,0,0,NA
KRN_5B_5B-8,0,0,0,0,0,NA
KRN_6A_6A-1,0,0,0,0,0,NA
KRN_6A_6A-2,0,0,0,0,0,NA
KRN_6A_6A-4,0,0,0,0,0,NA
KRN_6A_6A-5,0,0,0,0,0,NA
MDC_Duck Ponds_Duck Ponds,0.334,0.087,0.2,0.5,0.2,0.4
MDC_Flournoy Pond_Flournoy Pond,0.552,0.146,0.4,0.8,0.4,0.276
MDC_Gadwall_Gadwall,0.522,0.11,0.4,0.7,0.4,0.233
MDC_Grandma Tract 10_Grandma Tract 10,0.33,0.061,0.2,0.4,0.3,0.09
MDC_Grandma Tract 11_Grandma Tract 11,0.029,0.045,0,0.1,0,1
MDC_Grandma Tract 2_Grandma Tract 2,1.568,0.366,1,2.2,1.1,0.299
MDC_Grandma Tract 3_Grandma Tract 3,6.353,1.556,4.1,9.105,4.5,0.292
MDC_Grandma Tract 4_Grandma Tract 4,0.559,0.135,0.4,0.8,0.4,0.284
MDC_Grandma Tract 7_Grandma Tract 7,0.01,0.03,0,0.1,0,1
MDC_Grandma Tract 8_Grandma Tract 8,0.565,0.126,0.4,0.8,0.4,0.291
MDC_Grandma Tract 9_Grandma Tract 9,1.009,0.208,0.7,1.4,0.8,0.207
MDC_House Field_House Field,0.495,0.097,0.4,0.7,0.4,0.193
MDC_J Pond_J Pond,3.521,0.811,2.395,5,2.6,0.262
MDC_Matney 3_Matney 3,0.11,0.042,0.1,0.2,0.1,0.095
MDC_Matney 4 North_Matney 4 North,0.905,0.215,0.6,1.3,0.7,0.226
MDC_Matney 4 South_Matney 4 South,1.644,0.321,1.2,2.2,1.3,0.209
MDC_Matney 6_Matney 6,0.504,0.092,0.4,0.7,0.4,0.207
MDC_Matney 7_Matney 7,0.005,0.022,0,0,0,1
MDC_Matney 8_Matney 8,5.437,1.325,3.5,7.805,3.9,0.283
MDC_South Dam Pond_South Dam Pond,0.325,0.083,0.2,0.5,0.2,0.385
MDC_Upper Goose Pond_Upper Goose Pond,0.427,0.108,0.3,0.6,0.3,0.298
PIX_1_1,11.868,3.035,7.6,17.3,8.39,0.293
PIX_2_2,3.761,0.796,2.6,5.2,2.8,0.255
PIX_2A_2A,4.778,1.285,3,7.1,3.3,0.309
PIX_3_3,13.704,4.107,8.2,21.3,9.1,0.336
PIX_3A_3A,8.15,1.821,5.7,11.5,6.1,0.252
PIX_4_4,8.959,2.008,6.1,12.7,6.6,0.263
PIX_4A_4A,10.84,5.745,4.4,21.01,5.2,0.52
PIX_6_6,9.232,2.992,5.295,14.7,5.9,0.361
PIX_7A_7A,0.875,0.216,0.6,1.3,0.6,0.314
PIX_7B_7B,128.495,44.83,67.29,210.1,76.4,0.405
PIX_8A_8A,11.237,6.099,4.2,23.1,5.1,0.546
PIX_8B_8B,2.684,0.616,1.8,3.8,2,0.255
PIX_9A_9A,10.741,3.119,6.4,16.3,7.1,0.339
PIX_9B_9B,3.769,0.787,2.6,5.2,2.8,0.257
SLW_Beach Lake 1_Beach Lake 1,0.151,0.135,0,0.4,0,1
SLW_Lewis 1_22,5.489,3.274,1.8,11.905,2.3,0.581
SLW_Lewis 6_22,15.944,10.461,4.5,35.9,5.99,0.624
SLW_LIC_57,3.534,2.189,1.1,7.8,1.4,0.604
