Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
CLS_T10_T10:3,13.949,1.749,11.3,17,11.8,0.154
CLS_T13A_T13A,2.52,0.481,1.8,3.4,2,0.206
CLS_T15_T15:1,8.886,1.728,6.4,11.9,6.8,0.235
CLS_T15_T15:2,0.361,0.081,0.3,0.5,0.3,0.17
CLS_T15_T15:3,0.366,0.074,0.3,0.5,0.3,0.181
CLS_T15_T15:4,0.445,0.084,0.3,0.6,0.3,0.325
CLS_T17_T17,4.891,1.002,3.4,6.7,3.7,0.244
CLS_T24_T24:4,35.286,4.87,27.8,43.6,29.29,0.17
CLS_T24_T24:5,26.278,3.743,20.495,32.7,21.7,0.174
CLS_T27_T27.3,0.474,0.109,0.3,0.7,0.4,0.155
CLS_T5_T5,0.426,0.089,0.3,0.6,0.3,0.296
CLS_T6_T6:1,41.508,5.946,32.3,51.6,34.3,0.174
CLS_T6_T6:2,39.894,5.332,31.7,49.2,33.3,0.165
CLS_T6_T6:3,33.986,4.958,26.5,42.7,27.9,0.179
CLS_T6_T6:4,38.838,4.99,30.995,47.4,32.6,0.161
CLS_T6A_T6A,0.34,0.071,0.2,0.5,0.3,0.117
KRN_14_14-F,0.607,0.961,0,2.3,0,1
KRN_14_14A-1,0.074,0.126,0,0.3,0,1
KRN_14_14A-2,0.048,0.091,0,0.2,0,1
KRN_14_14B-1,0.368,0.58,0,1.4,0,1
KRN_14_14B-2,0.881,1.341,0,3.4,0,1
KRN_14_14C-1,0.957,1.451,0,3.7,0,1
KRN_14_14C-2,0.534,0.836,0,2.005,0,1
KRN_14_14D-1,0.924,1.371,0,3.6,0,1
KRN_14_14D-2,0.049,0.092,0,0.2,0,1
KRN_14_14E-1,0.221,0.337,0,0.9,0,1
KRN_14_14E-2,0.057,0.101,0,0.2,0,1
KRN_14_14G-1,1.12,1.659,0,4.3,0,1
KRN_14_14G-2,0.31,0.484,0,1.2,0,1
KRN_4A_4A-1,0.072,0.125,0,0.3,0,1
KRN_4A_4A-2,0.263,0.407,0,1,0,1
KRN_4A_4A-3,0.459,0.694,0,1.8,0,1
KRN_4A_4A-5,0.462,0.696,0,1.8,0,1
KRN_4A_4A-6,0.486,0.726,0,1.805,0,1
KRN_4A_4A-7,0.457,0.711,0,1.7,0,1
KRN_4B_4B-1,0.111,0.185,0,0.4,0,1
KRN_4B_4B-2,0.286,0.44,0,1.1,0,1
KRN_4B_4B-4,0.576,0.899,0,2.205,0,1
KRN_5A_5A-1,0.149,0.235,0,0.6,0,1
KRN_5A_5A-3,0.616,0.932,0,2.4,0,1
KRN_5A_5A-4,0.12,0.191,0,0.5,0,1
KRN_5A_5A-5,0.08,0.136,0,0.3,0,1
KRN_5A_5A-7,0.17,0.268,0,0.7,0,1
KRN_5B_5B-1,0.313,0.482,0,1.2,0,1
KRN_5B_5B-2,0.346,0.529,0,1.3,0,1
KRN_5B_5B-3,0.547,0.835,0,2.1,0,1
KRN_5B_5B-5,0.237,0.378,0,0.9,0,1
KRN_5B_5B-6,0.253,0.395,0,1,0,1
KRN_5B_5B-7,0.186,0.287,0,0.7,0,1
KRN_6A_6A-1,0.405,0.624,0,1.505,0,1
KRN_6A_6A-2,0.201,0.317,0,0.8,0,1
KRN_6A_6A-4,0.108,0.173,0,0.4,0,1
KRN_6A_6A-5,0.186,0.295,0,0.7,0,1
PIX_1_1,0,0,0,0,0,NA
PIX_2_2,0,0,0,0,0,NA
PIX_2A_2A,0,0,0,0,0,NA
PIX_3_3,0,0,0,0,0,NA
PIX_3A_3A,0,0,0,0,0,NA
PIX_4_4,0,0,0,0,0,NA
PIX_4A_4A,0,0,0,0,0,NA
PIX_6_6,0,0,0,0,0,NA
PIX_7A_7A,0,0,0,0,0,NA
PIX_7B_7B,0,0,0,0,0,NA
PIX_8A_8A,0,0,0,0,0,NA
PIX_8B_8B,0,0,0,0,0,NA
PIX_9A_9A,0,0,0,0,0,NA
PIX_9B_9B,0,0,0,0,0,NA
SAC_P1A_P1A:1,4.043,0.841,2.8,5.5,3,0.258
SAC_P7A_P7A:4,9.91,1.569,7.6,12.6,8,0.193
SAC_P8_P8:1,4.197,0.887,2.9,5.705,3.1,0.261
SAC_T10_T10:3,40.6,6.832,30.5,52.6,32.4,0.202
SAC_T14_T14:1,36.232,5.665,27.6,46,29.4,0.189
SAC_T14_T14:2,31.116,5.037,23.7,39.9,25.1,0.193
SAC_T35_T35:1,19.628,3.389,14.5,25.7,15.6,0.205
SAC_T36_T36:1,21.517,3.482,16.3,27.7,17.3,0.196
SAC_T36_T36:2,27.765,5.789,19.3,38.2,21,0.244
SLW_Beach Lake 1_Beach Lake 1,8.028,2.662,4.6,12.8,5.1,0.365
SLW_Beach Lake 3_Beach Lake 3,12.368,3.656,7.4,18.9,8.2,0.337
SLW_HQ-7_27a,11.025,3.312,6.6,17.1,7.2,0.347
SLW_Lewis 1_22,21.32,5.372,13.7,31.1,15,0.296
SLW_Lewis 6_22,41.318,11.971,24.7,63.6,27.5,0.334
SLW_LIC_57,6.076,2.514,2.9,10.7,3.4,0.44
