Refuge,Unit,RtCI90_lwr (ton),CI90lwr (ton),Cumulative Mass (ton),Unit Mass (ton),CI90upr (ton),MOE/Mean,Cumulative Area (ha),Objective,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2)
CLS,CLS_T13A_T13A,142.335,133.973,175.138,175.138,220.967,0.187,36.034,Pass,486.033,74.037,371.795,613.215
CLS,CLS_T17_T17,243.563,230.481,298.065,122.927,374.221,0.183,70.892,Pass,352.649,53.521,272.4,447.71
CLS,CLS_T15_T15:1,276.8,263.299,338.719,40.653,424.313,0.183,85.099,Pass,286.155,45.844,216.595,367.91
CLS,CLS_T10_T10:3,302.413,287.885,369.347,30.629,461.431,0.181,102.476,Pass,176.266,23.314,140.89,217.1
CLS,CLS_T6_T6:3,312.946,297.947,380.351,11.003,473.567,0.177,120.829,Pass,59.952,6.744,49.6,71.7
CLS,CLS_T6_T6:2,321.798,306.925,389.943,9.593,484.326,0.175,134.607,Pass,69.619,6.771,58.8,81.4
CLS,CLS_T6_T6:4,329.303,314.567,398.38,8.437,493.68,0.173,146.158,Pass,73.048,6.92,62.1,84.9
CLS,CLS_T24_T24:5,336.342,321.171,405.968,7.588,502.331,0.172,157.552,Pass,66.595,7.647,54.8,80
CLS,CLS_T24_T24:4,343.02,328.266,413.466,7.498,510.261,0.17,171.273,Pass,54.647,6.442,44.6,65.6
CLS,CLS_T6_T6:1,349.784,335.015,420.755,7.289,518.275,0.169,182.032,Pass,67.748,7.84,55.595,81.6
CLS,CLS_T27_T27.3,352.542,337.501,424.024,3.268,522.407,0.169,253.552,Pass,4.57,0.963,3.2,6.3
CLS,CLS_T5_T5,353.548,338.488,425.213,1.189,523.8,0.169,293.076,Pass,3.009,0.598,2.2,4.1
CLS,CLS_T15_T15:3,354.519,339.355,426.319,1.106,525.065,0.168,323.112,Pass,3.682,0.682,2.7,4.9
CLS,CLS_T15_T15:4,355.367,340.059,427.24,0.921,526.234,0.168,353.9,Pass,2.991,0.536,2.2,3.9
CLS,CLS_T15_T15:2,355.968,340.587,427.936,0.696,527.081,0.168,370.556,Pass,4.177,0.815,3,5.6
CLS,CLS_T6A_T6A,356.4,341.005,428.425,0.49,527.724,0.168,387.22,Pass,2.939,0.549,2.1,3.9
KRN,KRN_14_14G-1,51.515,49.685,58.826,58.826,68.902,0.124,53.829,Pass,109.281,10.936,92.3,128
KRN,KRN_4A_4A-5,85.22,82.432,96.696,37.871,112.27,0.119,75.772,Pass,172.593,18.539,143.7,205.7
KRN,KRN_4B_4B-1,118.847,115.044,134.558,37.861,155.333,0.117,101.631,Pass,146.412,14.229,123.9,171.1
KRN,KRN_14_14C-2,147.202,142.388,166.571,32.013,193.813,0.116,125.436,Pass,134.483,19.239,104.6,169.41
KRN,KRN_4A_4A-2,172.798,167.04,195.735,29.164,227.573,0.117,142.89,Pass,167.083,17.488,139.6,197.5
KRN,KRN_14_14C-1,197.638,191.042,224.146,28.412,261.023,0.118,180.414,Pass,75.718,12.125,57.1,96.705
KRN,KRN_14_14B-2,217.973,210.736,246.665,22.519,286.785,0.116,217.529,Pass,60.673,8.616,47.3,75.8
KRN,KRN_5B_5B-7,237.646,229.661,268.792,22.126,312.057,0.116,229.583,Pass,183.571,18.277,155.4,215.8
KRN,KRN_14_14B-1,257.312,249.295,290.135,21.344,334.605,0.113,260.199,Pass,69.713,8.059,57.1,83.4
KRN,KRN_4A_4A-6,274.923,266.444,309.878,19.742,357.548,0.113,286.844,Pass,74.095,7.927,61.9,87.6
KRN,KRN_14_14D-1,292.152,282.674,328.719,18.842,378.792,0.111,320.189,Pass,56.505,9.053,42.695,72.5
KRN,KRN_5B_5B-3,308.543,298.694,346.965,18.246,400.1,0.111,343.476,Pass,78.35,9.042,64.5,93.9
KRN,KRN_6A_6A-1,323.2,312.967,363.936,16.971,419.613,0.112,365.3,Pass,77.765,10.14,62.095,95.305
KRN,KRN_14_14-F,337.421,326.215,379.177,15.241,436.513,0.11,406.782,Pass,36.741,7.69,25.4,50.7
KRN,KRN_5A_5A-7,351.153,339.619,394.224,15.047,453.631,0.109,426.415,Pass,76.643,6.949,65.695,88.505
KRN,KRN_4A_4A-3,364.431,351.912,409.09,14.866,470.479,0.109,435.393,Pass,165.581,18.453,136.8,198.005
KRN,KRN_6A_6A-5,377.218,363.968,423.094,14.004,486.456,0.108,449.174,Pass,101.618,9.731,86.4,118.305
KRN,KRN_14_14G-2,389.293,376.776,436.974,13.88,502.776,0.109,497.638,Pass,28.64,5.177,20.9,37.9
KRN,KRN_6A_6A-2,401.116,388.016,450.494,13.52,518.601,0.11,517.874,Pass,66.81,8.088,54.495,80.8
KRN,KRN_5A_5A-3,413.241,399.923,463.71,13.216,533.552,0.109,539.09,Pass,62.293,7.429,50.8,75.4
KRN,KRN_4A_4A-7,424.973,411.215,476.804,13.094,548.615,0.109,557.68,Pass,70.434,8.844,56.9,86.2
KRN,KRN_5B_5B-1,436.46,422.242,489.746,12.943,563.56,0.109,566.906,Pass,140.279,15.195,116.595,166.305
KRN,KRN_5B_5B-6,447.515,432.63,502.187,12.441,577.72,0.109,579.852,Pass,96.103,9.995,80.5,113
KRN,KRN_4B_4B-2,458.784,443.87,514.144,11.957,591.012,0.108,597.517,Pass,67.685,6.662,57.4,79.3
KRN,KRN_6A_6A-4,467.553,452.364,523.944,9.8,602.172,0.108,609.015,Pass,85.238,8.296,72.2,99.6
KRN,KRN_5B_5B-2,475.579,460.145,532.961,9.017,611.997,0.108,620.945,Pass,75.582,8.672,62.295,90.6
KRN,KRN_5B_5B-5,482.955,467.116,541.1,8.139,621.859,0.107,641.239,Pass,40.103,5.693,31.4,49.9
KRN,KRN_5A_5A-1,489.692,473.597,548.322,7.222,629.228,0.107,659.966,Pass,38.564,3.771,32.7,45.2
KRN,KRN_5A_5A-4,495.443,479.381,554.801,6.479,636.453,0.107,678.887,Pass,34.242,3.281,29.2,39.9
KRN,KRN_4A_4A-1,501.525,485.187,561.242,6.442,643.275,0.106,698.355,Pass,33.088,3.179,28.2,38.5
KRN,KRN_4B_4B-4,506.013,489.355,566.11,4.868,648.702,0.106,706.955,Pass,56.598,7.155,45.4,69.305
KRN,KRN_14_14E-1,510.059,493.493,570.744,4.634,653.909,0.106,741.709,Pass,13.334,1.61,10.9,16.2
KRN,KRN_5A_5A-5,514.031,497.253,575.003,4.259,658.888,0.106,755.075,Pass,31.867,3.226,26.9,37.3
KRN,KRN_14_14D-2,515.219,498.379,576.346,1.343,660.294,0.106,780.793,Pass,5.223,0.789,4,6.6
KRN,KRN_14_14A-1,516.354,499.474,577.634,1.287,661.824,0.106,805.234,Pass,5.267,0.658,4.3,6.4
KRN,KRN_14_14A-2,517.356,500.37,578.765,1.132,663.231,0.106,826.908,Pass,5.221,0.768,4.1,6.6
KRN,KRN_14_14E-2,517.848,500.93,579.361,0.596,663.929,0.106,859.912,Pass,1.805,0.236,1.5,2.2
PIX,PIX_3A_3A,76.828,72.962,94.049,94.049,119.479,0.183,29.989,Pass,313.616,48.075,243.3,398.415
PIX,PIX_1_1,129.272,123.723,154.881,60.832,193.007,0.165,87.027,Pass,106.651,16.017,82.7,134.51
PIX,PIX_8B_8B,183.187,175.75,214.615,59.733,260.913,0.146,104.814,Pass,335.823,37.037,278.9,400.6
PIX,PIX_2_2,235.668,226.213,274.23,59.615,330.617,0.141,124.888,Pass,296.974,31.831,247.5,352.1
PIX,PIX_3_3,286.145,275.52,332.252,58.022,398.865,0.139,144.457,Pass,296.499,32.769,246.595,352.6
PIX,PIX_4A_4A,327.604,315.33,379.575,47.324,454.113,0.137,162.729,Pass,259.003,27.456,216.8,306.81
PIX,PIX_4_4,366.592,352.819,423.568,43.993,504.572,0.135,180.79,Pass,243.571,24.336,205.7,285.7
PIX,PIX_9B_9B,402.424,387.202,464.065,40.497,552.41,0.133,194.284,Pass,300.113,33.309,248.995,358.73
PIX,PIX_9A_9A,436.837,419.992,503.93,39.865,600.176,0.133,206.631,Pass,322.874,37.621,266.1,388.1
PIX,PIX_8A_8A,466.789,449.324,538.133,34.203,640.377,0.133,218.257,Pass,294.198,30.295,246.895,347.61
PIX,PIX_7B_7B,496.128,477.635,571.363,33.23,677.901,0.132,230.477,Pass,271.941,27.894,228,320.2
PIX,PIX_6_6,522.504,503.257,601.22,29.857,713.345,0.131,276.715,Pass,64.572,9.305,50.6,80.605
PIX,PIX_7A_7A,544.3,524.431,625.507,24.287,741.046,0.13,289.377,Pass,191.811,18.056,162.795,223.2
PIX,PIX_2A_2A,563.589,542.321,647.613,22.105,765.942,0.13,311.808,Pass,98.551,15.048,75.995,125.3
SAC,SAC_P1A_P1A:1,23.142,21.286,33.353,33.353,50.228,0.306,47.519,NO,70.188,18.967,44.795,105.7
SAC,SAC_P8_P8:1,43.606,39.691,66.383,33.03,103.598,0.343,71.67,NO,136.767,47.783,73.4,224.815
SAC,SAC_T10_T10:3,53.783,49.813,77.201,10.818,115.457,0.303,94.459,NO,47.468,7.111,36.7,60.005
SAC,SAC_T36_T36:2,60.839,56.788,85.314,8.113,125.024,0.287,114.867,NO,39.753,6.695,29.9,51.6
SAC,SAC_P7A_P7A:4,66.194,61.778,92.123,6.809,133.864,0.281,135.572,NO,32.889,6.487,23.7,44.31
SAC,SAC_T14_T14:2,71.972,67.633,98.709,6.586,141.808,0.271,150.153,NO,45.169,6.495,35.3,56.5
SAC,SAC_T35_T35:1,77.158,72.722,105.022,6.313,149.898,0.265,167.485,NO,36.421,6.748,26.9,48.105
SAC,SAC_T14_T14:1,82.843,78.225,111.044,6.023,156.586,0.254,180.845,NO,45.08,6.263,35.5,56.2
SAC,SAC_T36_T36:1,86.17,81.362,115.012,3.968,161.473,0.251,190.242,NO,42.228,6.699,32.5,54.3
SLW,SLW_HQ-7_27a,12.803,12.166,16.096,16.096,20.798,0.205,35.367,Pass,45.511,7.48,34.4,58.805
SLW,SLW_Lewis 6_22,24.614,23.247,30.475,14.379,39.109,0.192,59.074,Pass,60.655,12.377,43.395,83.4
SLW,SLW_LIC_57,33.569,31.678,41.952,11.477,53.908,0.2,87.717,Pass,40.068,11.162,24.4,60.3
SLW,SLW_Lewis 1_22,41.23,39.143,50.849,8.897,64.529,0.189,99.666,Pass,74.463,10.271,59,92.8
SLW,SLW_Beach Lake 1_Beach Lake 1,47.978,45.763,58.684,7.835,73.289,0.182,116.128,Pass,47.589,8.133,35.6,62.2
SLW,SLW_Beach Lake 3_Beach Lake 3,51.663,49.35,62.899,4.216,78.334,0.179,123.47,Pass,57.419,8.899,43.8,73.2
