Refuge,Unit,RtCI90_lwr (ton),CI90lwr (ton),Cumulative Mass (ton),Unit Mass (ton),CI90upr (ton),MOE/Mean,Cumulative Area (ha),Objective,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2)
KRN,KRN_4B_4B-3,40.488,39.123,45.813,45.813,52.938,0.116,18.974,Pass,241.456,22.619,206.195,279.005
KRN,KRN_4A_4A-5,71.678,69.077,81.95,36.137,96.63,0.125,40.916,Pass,164.69,20.94,131.9,201.5
KRN,KRN_4A_4A-4,96.872,93.613,110.116,28.166,128.635,0.12,61.522,Pass,136.684,12.093,117.9,157
KRN,KRN_5A_5A-1,122.227,118.457,138.264,28.148,160.473,0.116,80.25,Pass,150.308,12.632,130.3,171.8
KRN,KRN_4A_4A-3,143.068,138.494,162.036,23.772,187.93,0.117,89.228,Pass,264.774,26.836,222.79,309.705
KRN,KRN_4B_4B-1,164.171,159.207,185.7,23.664,214.864,0.116,115.087,Pass,91.51,8.77,77.995,106.6
KRN,KRN_5A_5A-6,185.12,179.42,208.994,23.294,241.701,0.114,129.185,Pass,165.235,14.685,142.795,190.7
KRN,KRN_5B_5B-7,204.941,198.563,231.371,22.376,267.26,0.114,141.238,Pass,185.642,17.205,159.195,214.605
KRN,KRN_5B_5B-8,224.686,217.672,253.058,21.687,291.258,0.112,160.595,Pass,112.041,9.221,97.1,127.7
KRN,KRN_4A_4A-6,243.88,236.03,274.176,21.118,314.9,0.11,187.24,Pass,79.256,7.81,67.1,92.605
KRN,KRN_5A_5A-7,261.385,253.314,294.229,20.053,337.982,0.112,206.873,Pass,102.14,13.434,81.5,125.4
KRN,KRN_5A_5A-4,277.019,268.531,311.855,17.626,358.498,0.112,225.794,Pass,93.158,10.499,77,110.9
KRN,KRN_5B_5B-3,292.658,283.507,329.396,17.541,379.04,0.112,249.081,Pass,75.324,11.17,58.8,94.6
KRN,KRN_6A_6A-1,305.103,296.061,343.128,13.732,394.427,0.111,270.905,Pass,62.92,5.2,54.5,71.705
KRN,KRN_5B_5B-1,316.789,307.062,356.2,13.072,409.405,0.111,280.131,Pass,141.683,13.263,120.9,164.1
KRN,KRN_4A_4A-1,328.292,318.3,369.115,12.915,423.726,0.111,299.599,Pass,66.34,6.453,56.595,77.3
KRN,KRN_5A_5A-3,339.233,329.114,381.383,12.268,437.996,0.111,320.815,Pass,57.825,5.617,49,67.3
KRN,KRN_6A_6A-5,350.311,339.741,393.476,12.094,451.662,0.11,334.596,Pass,87.755,6.827,76.895,99
KRN,KRN_4B_4B-2,361.096,350.1,405.434,11.957,464.953,0.109,352.262,Pass,67.685,5.945,58.1,77.6
KRN,KRN_5B_5B-6,371.198,359.919,416.554,11.121,477.483,0.109,365.207,Pass,85.907,6.935,74.8,97.7
KRN,KRN_4A_4A-2,380.573,369.005,426.986,10.432,489.574,0.109,382.662,Pass,59.764,9.456,45,76
KRN,KRN_6A_6A-4,388.794,376.818,436.092,9.106,499.938,0.108,394.159,Pass,79.2,6.525,68.9,90.2
KRN,KRN_6A_6A-2,396.591,384.11,444.853,8.761,510.371,0.108,414.395,Pass,43.294,5.133,35.4,52.2
