"","LIT_Strat","st_g_m2","SE","asymp.LCL","asymp.UCL"
"1","KRN_a.Low",22.8566362717165,2.9095851865262,17.6997936380609,29.1849884958248
"2","KRN_b.Med",108.340472730491,14.4988331663846,83.2057538156449,140.637469247418
"3","KRN_c.High",298.177589927462,31.1251119126045,242.919231786331,365.752403401453
"4","MDC_a.Low",2.59717607625923,1.60113519997127,0.0264118105498765,6.48276076634707
"5","MDC_b.Med",97.1615613513837,17.5799528331062,67.9143203780665,138.140394968176
"6","MDC_c.High",156.193870314816,19.6138888090296,121.991682371903,199.607603756093
"7","PIX_a.Low",36.3967334971824,7.69430950918613,23.7577779828482,54.5904713242734
"8","PIX_b.Med",88.7667389284208,16.1353725008774,61.9228029857318,126.378258784904
"9","PIX_c.High",345.380198368269,44.8216238962237,267.678847851973,445.222979800886
"10","SLW_a.Low",17.1552672488003,5.04343236705129,9.18107624930464,29.6134424663173
"11","SLW_b.Med",48.9121080453465,12.2725701133932,29.5078985672451,79.2275396234061
"12","SLW_c.High",224.401509039428,43.8744455195947,152.688039923345,328.728876173165
