"","subunit_ID","p_wg_a.Low","p_wg_b.Med","p_wg_c.High","p_st_a.Low","p_st_b.Med","p_st_c.High","p_noFood"
"1","KRN_4A_4A-1",0,0,0,0.25254748559005,0.0788533700821475,0.188306382837648,0.480292761490154
"2","KRN_4A_4A-2",0.0367068230741151,0,0.312008001819536,0.0939554316303506,0.0323675554300297,0.257110846319532,0.267851341726437
"3","KRN_4A_4A-3",0,0,0,0,0,0.887715181955643,0.112284818044357
"4","KRN_4A_4A-4",0,0,0,0.199588151103125,0.150952404283483,0.396241878816013,0.25321756579738
"5","KRN_4A_4A-5",0,0,0,0.136847505721662,0.0604875419946148,0.567046922192154,0.235618030091568
"6","KRN_4A_4A-6",0,0,0,0.168428112001488,0.169018940567445,0.20385109149107,0.458701855939997
"7","KRN_4B_4B-1",0,0,0,0.183111062155685,0.13362761641765,0.260617402487684,0.422643918938981
"8","KRN_4B_4B-2",0,0,0,0.0816300710535615,0.21227886993835,0.147683207126019,0.558407851882069
"9","KRN_4B_4B-3",0,0,0,0,0.215569115510969,0.749355881271,0.0350750032180306
"10","KRN_5A_5A-1",0,0,0,0.197441527004021,0.321509625901778,0.37362153133069,0.107427315763511
"11","KRN_5A_5A-3",0,0,0,0.0788090453326004,0.050427164731803,0.182645163391747,0.68811862654385
"12","KRN_5A_5A-4",0,0,0,0.11297859660093,0.055225149688689,0.314802086249415,0.516994167460966
"13","KRN_5A_5A-6",0,0,0,0.129394465940765,0.273093791668747,0.453463898903503,0.144047843486985
"14","KRN_5A_5A-7",0,0.000433077929235,0.00230974895592,0.197520054334525,0.0962136005219956,0.314710313353808,0.388813204904517
"15","KRN_5B_5B-1",0,0,0,0.148404295509906,0.098563861909998,0.444308622017887,0.308723220562209
"16","KRN_5B_5B-2",0,0,0,0.245271896137065,0.196203210661535,0.100619886471277,0.457905006730123
"17","KRN_5B_5B-3",0,0,0,0.0504147925700631,0.0702589267544848,0.334174004636583,0.545152276038869
"18","KRN_5B_5B-5",0,0,0,0.134528469706216,0.0836116979104441,0.0335440246478638,0.748315807735476
"19","KRN_5B_5B-6",0,0,0,0.298541100665539,0.197802130665796,0.198331049338995,0.30532571932967
"20","KRN_5B_5B-7",0,0,0,0.160404430490209,0.209724302818127,0.563586696393431,0.0662845702982333
"21","KRN_5B_5B-8",0,0,0,0.248849307139742,0.298938403159603,0.262642956935604,0.189569332765052
"22","KRN_6A_6A-1",0,0,0,0.280826732539609,0.180147218525444,0.13005208738744,0.408973961547507
"23","KRN_6A_6A-2",0,0,0,0.348123062478528,0,0.121916059418808,0.529960878102664
"24","KRN_6A_6A-4",0,0,0,0.19921859266732,0.148099945112637,0.199012958385611,0.453668503834431
"25","KRN_6A_6A-5",0,0,0,0.396314359874753,0.19908568369527,0.198427856718469,0.206172099711509
"26","MDC_Duck Ponds_Duck Ponds",0,0,0,0.000664044081555243,0.286753301099575,0.624090209691117,0.088492445127753
"27","MDC_Flournoy Pond_Flournoy Pond",0,0,0,0.00361466400057205,0.441947857339892,0.151814704596787,0.402622774062749
