"","LIT","Unit_Name","Subunit_Name","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","wg_g_m2","st_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg"
"1","KRN","4A","4A-1","KRN_4A_4A-1",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,73.9947959295163,73.9947959295163,19.4765825020243,194.716772447375,56.111903398717,91.8776884603157,194.716772447375,56.111903398717,91.8776884603157,0,0,0
"2","KRN","4A","4A-2","KRN_4A_4A-2",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,83.912329725365,83.912329725365,17.4619426356275,318.44881539581,61.0428700260007,106.781789424729,318.44881539581,61.0428700260007,106.781789424729,0,0,0
"3","KRN","4A","4A-3","KRN_4A_4A-3",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,265.891148445824,265.891148445824,8.98213337651822,971.001679241992,225.956848463797,305.825448427851,971.001679241992,225.956848463797,305.825448427851,0,0,0
"4","KRN","4A","4A-4","KRN_4A_4A-4",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,143.01514226567,143.01514226567,20.6152295587045,196.270435954151,125.061046842581,160.969237688759,196.270435954151,125.061046842581,160.969237688759,0,0,0
"5","KRN","4A","4A-5","KRN_4A_4A-5",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,181.46597742445,181.46597742445,21.9515994210526,799.350882246708,145.232933973348,217.699020875551,799.350882246708,145.232933973348,217.699020875551,0,0,0
"6","KRN","4A","4A-6","KRN_4A_4A-6",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,86.489260015032,86.489260015032,26.65628048583,145.815951433005,71.0139768850116,101.964543145052,145.815951433005,71.0139768850116,101.964543145052,0,0,0
"7","KRN","4B","4B-1","KRN_4B_4B-1",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,99.8116582431449,99.8116582431449,25.8704965222672,81.9367555340312,88.2111914012684,111.412125085022,81.9367555340312,88.2111914012684,111.412125085022,0,0,0
"8","KRN","4B","4B-2","KRN_4B_4B-2",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,71.8973932890167,71.8973932890167,17.6735283441296,149.65830197652,56.2195437495869,87.5752428284466,149.65830197652,56.2195437495869,87.5752428284466,0,0,0
"9","KRN","4B","4B-3","KRN_4B_4B-3",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,249.811563388111,249.811563388111,18.9818694412955,613.203578634208,218.076568999784,281.546557776438,613.203578634208,218.076568999784,281.546557776438,0,0,0
"10","KRN","5A","5A-1","KRN_5A_5A-1",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,156.235604991462,156.235604991462,18.7351343198381,155.28576885582,140.265715392418,172.205494590506,155.28576885582,140.265715392418,172.205494590506,0,0,0
"11","KRN","5A","5A-3","KRN_5A_5A-3",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,63.2341856969449,63.2341856969449,21.2247014089069,196.901208995612,45.251263021071,81.2171083728188,196.901208995612,45.251263021071,81.2171083728188,0,0,0
